protein_a,protein_b,string_id_a,string_id_b,combined_score,nscore,fscore,pscore,ascore,escore,dscore,tscore
GJA1,TJP1,9606.ENSP00000282561,9606.ENSP00000348416,0.999,0.0,0.0,0.0,0.183,0.597,0.9,0.994
NFKBIE,RELA,9606.ENSP00000275015,9606.ENSP00000384273,0.999,0.0,0.013,0.0,0.092,0.833,0.9,0.959
FKBP1A,MTOR,9606.ENSP00000383003,9606.ENSP00000354558,0.999,0.0,0.0,0.0,0.049,0.993,0.0,0.997
CDK5,MAPT,9606.ENSP00000419782,9606.ENSP00000340820,0.999,0.0,0.0,0.0,0.047,0.878,0.9,0.948
HSP90AA1,HSPA4,9606.ENSP00000335153,9606.ENSP00000302961,0.999,0.0,0.0,0.0,0.529,0.876,0.0,0.999
CTNNB1,GSK3B,9606.ENSP00000495360,9606.ENSP00000324806,0.999,0.0,0.0,0.0,0.054,0.991,0.9,0.999
FOSL1,JUN,9606.ENSP00000310170,9606.ENSP00000360266,0.999,0.0,0.0,0.0,0.09,0.872,0.9,0.996
GSK3B,MAPT,9606.ENSP00000324806,9606.ENSP00000340820,0.999,0.0,0.0,0.0,0.0,0.942,0.9,0.943
NCF1,NCF2,9606.ENSP00000289473,9606.ENSP00000356505,0.999,0.0,0.0,0.0,0.399,0.986,0.9,0.999
BCL2,NR4A1,9606.ENSP00000381185,9606.ENSP00000440864,0.999,0.0,0.0,0.0,0.063,0.698,0.9,0.985
NCF1,NCF4,9606.ENSP00000289473,9606.ENSP00000380334,0.999,0.0,0.0,0.0,0.428,0.977,0.9,0.989
NCF1,NOX1,9606.ENSP00000289473,9606.ENSP00000362057,0.999,0.0,0.0,0.0,0.11,0.0,0.9,0.999
MT-ATP6,MT-CYB,9606.ENSP00000354632,9606.ENSP00000354554,0.999,0.0,0.0,0.0,0.999,0.0,0.0,0.972
CYBB,NCF1,9606.ENSP00000367851,9606.ENSP00000289473,0.999,0.0,0.0,0.0,0.344,0.0,0.9,0.999
JUN,JUNB,9606.ENSP00000360266,9606.ENSP00000303315,0.999,0.0,0.0,0.0,0.543,0.639,0.9,0.983
AXIN1,GSK3A,9606.ENSP00000262320,9606.ENSP00000222330,0.999,0.0,0.0,0.0,0.197,0.936,0.9,0.996
